code,weight
000001,0.03333333333333333
000002,0.03333333333333333
000003,0.03333333333333333
000004,0.03333333333333333
000005,0.03333333333333333
000006,0.03333333333333333
000007,0.03333333333333333
000008,0.03333333333333333
000009,0.03333333333333333
000010,0.03333333333333333
000011,0.03333333333333333
000012,0.03333333333333333
000013,0.03333333333333333
000014,0.03333333333333333
000015,0.03333333333333333
000016,0.03333333333333333
000017,0.03333333333333333
000018,0.03333333333333333
000019,0.03333333333333333
000020,0.03333333333333333
000021,0.03333333333333333
000022,0.03333333333333333
000023,0.03333333333333333
000024,0.03333333333333333
000025,0.03333333333333333
000026,0.03333333333333333
000027,0.03333333333333333
000028,0.03333333333333333
000029,0.03333333333333333
000030,0.03333333333333333
